titre,cineaste,casting,date_sortie,duree_minutes,nationalites,synopsis,status,categories,thematiques,affiche_image,dossier_presse,affiche_photos,bande_annonce_fichier,bande_annonce_url,slug
Father Mother Sister Brother,Jim Jarmush,"Tom Waits, Adam Driver, Mayim Bialik, Charlotte Rampling, Cate Blanchett, Vicky Krieps, Sarah Greene, Indya Moore, Luka Sabbat, Françoise Lebrun",,,,,actuellement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-FAther-mother-sister-brother-2.jpg,,,,,father-mother-sister-brother.html
Resurrection,BI Gan,"Jackson Yee, Shu Qi, Mark Chao, Li Gengxi, Huang Jue, Chen Yongzhong, Guo Mucheng, Zhang Zhijian, Chloe, Yan Nan",,,,"Jackson Yee, Shu Qi, Mark Chao, Li Gengxi, Huang Jue, Chen Yongzhong, Guo Mucheng, Zhang Zhijian, ChloeMaayan, Yan Nan",actuellement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-Resurrection-vf-1.jpg,,,,,resurrection.html
"Six Jours, ce printemps-là",Joachim Lafosse,"Eye Haïdara, Jules Waringo, Leonis Pinero Müller, Teoudor Pinero Müller, Emmanuelle Devos, Damien Bonnard",,,,,actuellement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-6-jours-vf-1.jpg,,,,,six-jours-ce-printemps-la.html
Le Cri des Gardes,Claire Denis,"Isaach De Bankolé, Matt Dillon, Mia Mc, Tom Blyth",,,,"Isaach De Bankolé, Matt Dillon, Mia McKenna-Bruce, Tom Blyth",prochainement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/Le-cri-des-gardes-Grande-1030x686.jpeg,,,,,le-cri-des-gardes.html
Victor comme tout le monde,Pascal Bonitzer,"Fabrice Luchini, Chiara Mastroianni, Marie Narbonne, Suzanne, Louise Orry Diquero, Iris Bry, Naidra Ayadi, Sarah Touffic Othman Schmitt, Agnes Sourdillon, Yannick Choirat, David Ayala",,,,"Fabrice Luchini, Chiara Mastroianni, Marie Narbonne, Suzanne de Baecque, Louise Orry Diquero, Iris Bry, Naidra Ayadi, Sarah Touffic Othman Schmitt, Agnes Sourdillon, Yannick Choirat, David Ayala",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-Victor.jpg,,,,,victor-comme-tout-le-monde.html
Raymond Depardon Cinéaste,,,,,,,actuellement,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-retro-Depardon.jpg,,,,,raymond-depardon-cineaste.html
The Chronology of Water,Kristen Stewart,"Imogen Poots, Thora Birch, Jim Belushi, Charles Carrick, Tom Sturridge, Susanna Flood, Esme Creed Miles, Kim Gordon, Michael Epp",,,,"Imogen Poots, Thora Birch, Jim Belushi, Charles Carrick, Tom Sturridge, Susanna Flood, Esme Creed Miles, Kim Gordon, Michael Epp",catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-chronology-vf.jpg,,,,,the-chronology-of-water.html
Oui,Nadav Lapid,"Ariel Bronz, Efrat Dor, Naama Preis, Alexey Serebryakov",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/OUI-affiche-OK-2-Large-773x1030.jpeg,,,,,oui.html
Miroirs Nº3,Christian Petzold,"Paula Beer, Barbara Auer, Matthias Brandt, Enno Trebs, Philip Froissant",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-miroirs-n3.jpeg,,,,,miroirs-n3.html
Lettres Siciliennes,Fabio Grassadonia,"Toni Servillo, Elio Germano, Daniela Marra, Barbora Bobulova, Giuseppe Tantillo, Fausto Russo Alesi, Antonia Truppo",,,,,catalogue,distribution,,https://filmsdulosange.com/wp-content/uploads/sites/2/2025/08/mea-lettres-siciliennes-vf.jpeg,,,,,lettres-siciliennes.html
